Date,Volume,Close,Average
16/11/06,11000800,42.84,42.6750015
17/11/06,6530200,42.549999,42.4449995
20/11/06,5796400,42.439999,42.244999
21/11/06,6984400,42.540001,42.6849995
22/11/06,4535600,42.959999,42.58
24/11/06,2241300,42.41,42.625
27/11/06,8972800,40.849998,41.76
28/11/06,7099300,40.919998,40.6849995
29/11/06,7854600,40.630001,40.549999
30/11/06,6346300,40.34,40.2449985
01/12/06,8306100,39.41,39.8150005
04/12/06,9720700,39.099998,39.1749995
05/12/06,5737700,38.98,39.01
06/12/06,5776900,38.900002,39.1100005
07/12/06,6621500,38.119999,38.5699995
08/12/06,5139700,38.459999,38.325001
11/12/06,4848600,38.689999,38.615002
12/12/06,5083200,38.459999,38.5450005
13/12/06,4677800,38.5,38.689999
14/12/06,6296100,39.02,39.0699995
15/12/06,8153500,40.009998,39.7099995
18/12/06,6486700,39.259998,39.75
19/12/06,7520000,39.419998,38.9750005
20/12/06,7784300,40.009998,39.844999
21/12/06,6550200,39.889999,39.995001
22/12/06,5585100,40.240002,40.209999
26/12/06,4473600,39.799999,39.7749995
27/12/06,3536500,40.290001,40.135
28/12/06,4545500,40.209999,40.2749995
29/12/06,4197000,39.459999,39.799999
03/01/07,12405100,38.700001,38.555
04/01/07,6318400,38.900002,38.6999985
05/01/07,6619700,38.369999,38.1949995
08/01/07,6783000,37.5,37.7399995
09/01/07,5703000,37.779999,37.7000005
10/01/07,6527500,37.150002,37.3850005
11/01/07,6465600,37.400002,37.584999
12/01/07,4466400,38.200001,37.7399995
16/01/07,5643700,38.66,38.43
17/01/07,5026800,37.880001,38.3899995
18/01/07,9105000,36.98,37.1850015
19/01/07,6095900,37.02,37.039999
22/01/07,8317000,36.950001,37.3500005
23/01/07,5313600,36.43,36.6849995
24/01/07,5271700,37.259998,36.9300005
25/01/07,6747600,37.080002,37.5049995
26/01/07,4139300,36.849998,36.7799985
29/01/07,7395000,37.43,36.995001
30/01/07,4813500,37.049999,37.0249995
31/01/07,7277500,37.669998,37.4749985
01/02/07,26123100,38.700001,38.5749985
02/02/07,25850700,37.389999,37.210001
05/02/07,6110900,37.16,37.094999
06/02/07,8612700,38.27,37.745001
07/02/07,10503200,38.98,38.960001
08/02/07,5483600,39.099998,39.089998
09/02/07,5960100,38.720001,38.9850005
12/02/07,3835700,38.849998,38.6750015
13/02/07,4505500,39.310001,39.2299995
14/02/07,6814100,40.139999,39.709999
15/02/07,5088200,40.060001,40.0900005
16/02/07,4679000,40.330002,40.154999
20/02/07,8903400,41.509998,40.870001
21/02/07,4508400,41.259998,41.119999
22/02/07,4926100,41,41.4449995
23/02/07,5497400,40.779999,40.9700015
26/02/07,4035200,40.880001,40.8000015
27/02/07,8850700,38.830002,39.66
28/02/07,7687400,39.139999,38.830002
01/03/07,9255800,38.849998,38.6849995
02/03/07,7787800,37.689999,38.279999
05/03/07,9565600,37.049999,37.6800005
06/03/07,12848200,38.580002,38.035
07/03/07,8644600,38.360001,38.7999995
08/03/07,7629300,38.099998,38.6000005
09/03/07,6200100,38.84,38.4449995
12/03/07,4879000,38.810001,38.715
13/03/07,5204100,37.82,38.285
14/03/07,8591100,38.080002,37.7399995
15/03/07,7265700,37.779999,37.92
16/03/07,6865500,37.849998,37.800001
19/03/07,4226600,38.450001,38.2700005
20/03/07,3801300,38.580002,38.4599995
21/03/07,4996400,39.799999,39.055
22/03/07,5331500,39.490002,39.3150005
23/03/07,2941500,38.98,39.289999
26/03/07,3521100,39.009998,38.7399995
27/03/07,3993600,39.369999,39.089998
28/03/07,6202200,39.34,39.125
29/03/07,6405200,39.810001,39.6099985
30/03/07,5996900,39.790001,39.83
02/04/07,7091300,40.419998,40.01
03/04/07,5968200,41.189999,40.8900015
04/04/07,4064700,41.529999,41.2349985
05/04/07,3288400,41.68,41.5999985
09/04/07,4182700,41.66,41.875
10/04/07,3421800,41.860001,41.709999
11/04/07,5078400,41.68,41.5550005
12/04/07,4754500,42.27,41.8850005
13/04/07,3610000,42.41,42.215
16/04/07,13444000,45.200001,44.4849985
17/04/07,7398900,45.07,45.035
18/04/07,4996400,44.990002,44.8900015
19/04/07,4809700,44.639999,44.780001
20/04/07,5980500,44.950001,44.844999
23/04/07,7088600,44.77,44.4850005
24/04/07,19887600,44.75,44.715
25/04/07,104329200,56.810001,55.0650005
26/04/07,62179500,62.779999,59.5550005
27/04/07,50733400,62.599998,62.2299995
30/04/07,23979200,61.330002,61.8099995
01/05/07,18519000,62.040001,61.16
02/05/07,14427200,61.18,61.575001
03/05/07,13482000,62.189999,61.6499995
04/05/07,14299300,63.23,63.049999
07/05/07,14808300,60.82,61.9699995
08/05/07,13551100,61.830002,60.7700005
09/05/07,8874900,62.849998,62.125
10/05/07,10052000,60.919998,61.75
11/05/07,7919100,61.560001,61.0799995
14/05/07,7760400,61.700001,61.17
15/05/07,8702100,60.580002,61.2450005
16/05/07,14485400,63.220001,61.719999
17/05/07,11870900,62.169998,62.77
18/05/07,9799200,63.299999,62.789999
21/05/07,36468800,68.300003,65.9899995
22/05/07,17211300,68.879997,68.1399995
23/05/07,42582500,69,71.0499995
24/05/07,23824600,69.349998,69.0649985
25/05/07,9987200,68.550003,68.9749985
29/05/07,11730800,69.629997,68.75
30/05/07,10576100,69.860001,69.4700015
31/05/07,9310200,69.139999,69.654999
01/06/07,7014500,68.580002,68.8250005
04/06/07,11380500,70.419998,69.150002
05/06/07,30442500,73.650002,72.5499995
06/06/07,15591000,72.290001,72.8050005
07/06/07,24138200,72.040001,72.799999
08/06/07,10204500,73.239998,72.1450005
11/06/07,11159100,71.169998,72.0250015
12/06/07,11829500,70.07,70.09
13/06/07,11917900,70.889999,70.5699995
14/06/07,8245300,71.940002,71.460003
15/06/07,9833200,72.400002,72.0300025
18/06/07,7813600,71.830002,72.0200005
19/06/07,11871000,69.809998,70.670002
20/06/07,9172600,69.099998,69.7750015
21/06/07,7609700,69.669998,69.2150005
22/06/07,8382600,68.860001,69.1499975
25/06/07,7593500,68.660004,68.965
26/06/07,11247800,67.480003,68.004997
27/06/07,8242900,68.139999,67.459999
28/06/07,9782200,68.889999,69.1900025
29/06/07,5316600,68.410004,68.670002
02/07/07,4906100,69.610001,68.954998
03/07/07,2223500,69.449997,69.535
05/07/07,4487900,68.730003,68.855
06/07/07,4615300,68.970001,68.6550025
09/07/07,14816900,72.07,70.6849975
10/07/07,8885400,70.279999,71.005001
11/07/07,6593600,70.730003,70.900002
12/07/07,11451600,72.790001,72.1500015
13/07/07,12502000,75.099998,74.1599995
16/07/07,8334900,73.690002,73.919998
17/07/07,6084400,73.790001,74.0549965
18/07/07,6289700,73.32,72.869999
19/07/07,5273500,73.349998,73.7200015
20/07/07,9130700,71.629997,71.7299995
23/07/07,9267800,71.739998,71.759998
