Date,Volume,Close,Average
17/11/14,4148400,90.410004,90.415001
18/11/14,4461600,90.279999,90.4099995
19/11/14,7710000,89.82,89.7350005
20/11/14,8604000,88.900002,89.1049995
21/11/14,7383500,88.959999,89.2800025
24/11/14,6504100,90.580002,89.990002
25/11/14,7404200,91.650002,91.3149985
26/11/14,4607200,91.919998,91.9749985
28/11/14,3853000,92.510002,92.595001
01/12/14,6714700,92.699997,92.6199985
02/12/14,6664200,93.470001,93.114998
03/12/14,5492400,93.110001,93.080002
04/12/14,6017300,93.230003,93.0999985
05/12/14,5226800,93.760002,93.6599995
08/12/14,6682200,93.800003,93.955002
09/12/14,9519900,92.940002,92.665001
10/12/14,10346100,91.629997,92.1900025
11/12/14,8227800,91.75,91.660004
12/12/14,7890900,91.489998,91.779999
15/12/14,6746800,90.900002,91.440002
16/12/14,6549400,90.169998,91.0649985
17/12/14,6885900,91.379997,90.9399985
18/12/14,9387500,92.610001,92.235001
19/12/14,12837900,92.889999,92.539997
22/12/14,7477500,94.199997,93.790001
23/12/14,5385800,94.690002,94.735001
24/12/14,2165700,94.419998,94.745003
26/12/14,3142400,95.029999,94.9149975
29/12/14,3584400,95.5,95.310001
30/12/14,3490100,94.699997,95
31/12/14,4797000,94.190002,94.774998
02/01/15,5865400,93.75,94.0649985
05/01/15,7789400,92.379997,92.5649985
06/01/15,6793100,91.889999,92.175003
07/01/15,6589500,92.830002,92.625
08/01/15,7579400,93.790001,93.9300005
09/01/15,8621300,94.25,94.6299975
12/01/15,6586200,94.459999,94.2649995
13/01/15,9364300,95.190002,95.5649985
14/01/15,6509300,94.230003,94.045002
15/01/15,5662200,94.349998,94.5
16/01/15,6117000,95.18,94.605003
20/01/15,7940600,94.739998,94.5699995
21/01/15,7474700,94.169998,94.279999
22/01/15,7014200,95.150002,94.7000005
23/01/15,4664700,94.720001,94.9799995
26/01/15,5446900,94.970001,94.465
27/01/15,5390000,93.970001,94.0499995
28/01/15,6198400,92.669998,93.540001
29/01/15,7681700,93.220001,92.5099985
30/01/15,10212300,90.959999,91.885002
02/02/15,9392000,91.93,91.0550005
03/02/15,12329100,94.099998,93.1500015
04/02/15,32640500,101.279999,100.380001
05/02/15,14089500,102.639999,101.674999
06/02/15,8535200,102.019997,102.32
09/02/15,5461800,101.730003,101.9749985
10/02/15,5726300,101.919998,101.685001
11/02/15,5868200,101.870003,101.5449985
12/02/15,6816800,103.580002,102.7749975
13/02/15,5175600,104.169998,103.920002
17/02/15,4759300,104.120003,104.0099985
18/02/15,3760200,103.860001,103.865002
19/02/15,5094100,103.889999,103.8150025
20/02/15,5197000,104.550003,103.7100025
23/02/15,5587100,104.989998,104.8350025
24/02/15,4098800,104.669998,104.7000005
25/02/15,6547200,105.57,105.3250005
26/02/15,5049000,104.559998,104.924999
27/02/15,4161600,104.080002,104.549999
02/03/15,5635500,105.889999,105.1650005
03/03/15,4671900,106.349998,105.924999
04/03/15,4972300,105.57,105.3899995
05/03/15,3954700,105.029999,105.3400005
06/03/15,5704200,103.82,104.244999
09/03/15,4868900,105.260002,104.619999
10/03/15,6472600,103.089996,103.719997
11/03/15,4831900,102.889999,103.4350015
12/03/15,10730400,107.169998,105.57
13/03/15,8024200,106.440002,106.399998
16/03/15,6407300,107.370003,106.890003
17/03/15,4489400,106.959999,106.6800005
18/03/15,5520600,107.970001,107.0750005
19/03/15,4885600,107.370003,107.810001
20/03/15,8710100,108.43,108.220001
23/03/15,5667000,108.220001,108.4449995
24/03/15,4493500,107.110001,107.5650025
25/03/15,6964700,105,106.2299995
26/03/15,5915800,105.239998,104.959999
27/03/15,5330400,105.480003,105.664997
30/03/15,3831900,106.120003,106.5
31/03/15,5701600,104.889999,105.6049995
01/04/15,6117200,105.440002,105.125
02/04/15,3651600,106,105.5499995
06/04/15,4153500,105.629997,105.8050005
