Date,Volume,Close,Average
17/11/14,6208700,35.599998,35.5999985
18/11/14,5319600,35.470001,35.640001
19/11/14,5748700,35.48,35.3850005
20/11/14,6090600,35.389999,35.2299995
21/11/14,7477400,35.529999,35.6899985
24/11/14,6739000,35.619999,35.700001
25/11/14,7646700,35.299999,35.535
26/11/14,6138100,35.119999,35.244999
28/11/14,3534700,35.18,35.125
01/12/14,8802400,35.099998,34.885
02/12/14,9335200,35.77,35.5550005
03/12/14,9147400,36.52,36.1149995
04/12/14,9165300,36.790001,36.57
05/12/14,11489700,37.240002,37.3500005
08/12/14,14069300,38,37.6199985
09/12/14,12283800,38.099998,37.6949995
10/12/14,13788700,37.389999,37.6900005
11/12/14,8942200,37.400002,37.68
12/12/14,10965300,36.25,36.6599995
15/12/14,10472000,35.93,36.235001
16/12/14,11456800,35.52,35.8850005
17/12/14,11919000,36.73,36.17
18/12/14,12773100,38.099998,37.6899985
19/12/14,12526800,38.509998,38.285
22/12/14,8650600,38.57,38.34
23/12/14,5872600,38.950001,38.8150005
24/12/14,2495100,38.810001,38.9049985
26/12/14,3091700,38.720001,38.8600005
29/12/14,3466900,38.959999,38.85
30/12/14,4010600,39,38.825001
31/12/14,6492900,38.799999,38.99
02/01/15,7333800,38.709999,38.700001
05/01/15,12507900,37.5,37.879999
06/01/15,16507800,36.419998,36.800001
07/01/15,9957700,36.939999,36.8249985
08/01/15,8079600,37.490002,37.5249995
09/01/15,7807500,36.880001,37.125
12/01/15,9385900,36.369999,36.49
13/01/15,12447800,36.029999,36.3700005
14/01/15,15898600,35.209999,35.004999
15/01/15,17568100,34.580002,34.7699985
16/01/15,27056100,34.889999,34.4899995
20/01/15,19400600,34.75,34.410002
21/01/15,15830500,34.73,34.5300005
22/01/15,18792700,35.529999,34.9300005
23/01/15,10969300,35.150002,35.4850005
26/01/15,9899900,35.110001,34.91
27/01/15,9021500,34.66,34.6899985
28/01/15,14730700,33.77,34.2549995
29/01/15,11378800,34.369999,34.135
30/01/15,11693000,33.810001,34.09
02/02/15,12373400,34.419998,34.0699995
03/02/15,14545300,35.040001,34.8199995
04/02/15,10246300,34.77,34.915001
05/02/15,10524000,34.93,34.9400005
06/02/15,17087400,35.790001,35.755001
09/02/15,8454100,35.630001,35.6499995
10/02/15,12491700,36.16,36.0299985
11/02/15,7798100,36.369999,36.305
12/02/15,8167100,36.900002,36.7200015
13/02/15,8019200,36.779999,36.880001
17/02/15,6800200,36.919998,36.719999
18/02/15,7745800,36.369999,36.5600015
19/02/15,5856500,36.330002,36.34
20/02/15,11019700,36.740002,36.349998
23/02/15,7399600,36.27,36.380001
24/02/15,8910400,36.740002,36.625
25/02/15,7358500,36.59,36.75
26/02/15,10363200,36.060001,36.1900005
27/02/15,8264200,35.790001,35.8850005
02/03/15,7118100,36.240002,35.9349995
03/03/15,8338800,35.82,36.0750005
04/03/15,11533500,35.09,35.35
05/03/15,8976400,35.52,35.25
06/03/15,14177300,35.529999,35.985001
09/03/15,8573800,35.669998,35.5300005
10/03/15,10996700,34.880001,35.035002
11/03/15,10593900,34.950001,34.9699995
12/03/15,18321000,37.09,36.635
13/03/15,11237500,36.349998,36.6500015
16/03/15,8077200,36.73,36.550001
17/03/15,8381800,36.549999,36.370001
18/03/15,9870300,36.73,36.6550005
19/03/15,10873800,36.110001,36.1799985
20/03/15,14009000,36.5,36.3899995
23/03/15,7341600,36.310001,36.4799995
24/03/15,7952200,36.240002,36.2199995
25/03/15,9066500,35.450001,35.7999995
26/03/15,10180500,35.619999,35.365
27/03/15,9157800,35.830002,35.629999
30/03/15,8954200,36.310001,36.265001
31/03/15,10258200,35.689999,35.955
01/04/15,7975800,35.970001,35.695
02/04/15,6271300,36.060001,35.995001
06/04/15,6624300,35.91,35.7849995
07/04/15,8045000,35.939999,36.174999
08/04/15,6602800,36.259998,36.1750015
09/04/15,7910400,36.639999,36.4099995
10/04/15,10047800,36.240002,36.375
13/04/15,6207400,36.299999,36.3899995
14/04/15,12320000,36.84,36.6450005
15/04/15,13022600,37.389999,37.1650005
16/04/15,8876100,37.360001,37.3200015
17/04/15,10033800,36.75,36.795
20/04/15,13301900,36.959999,37.075001
21/04/15,11380900,36.75,37.0200005
22/04/15,10161300,37.200001,37.035
23/04/15,8486900,37.380001,37.289999
24/04/15,8643200,37.360001,37.25
27/04/15,8924200,37.049999,37.3199995
28/04/15,7525400,37.040001,36.8899995
29/04/15,9518400,37.490002,37.205
30/04/15,10413900,37.310001,37.3950005
01/05/15,6469600,37.509998,37.470001
04/05/15,7375700,37.91,37.734999
05/05/15,10339600,37.450001,37.655001
06/05/15,9532500,37.049999,37.1949995
07/05/15,12404700,37.540001,37.2349985
08/05/15,10037900,37.889999,37.744999
11/05/15,12349100,38.25,38.17
12/05/15,9689300,37.720001,37.744999
13/05/15,7016100,37.779999,37.7000005
14/05/15,7291300,38.139999,38
15/05/15,7093800,37.849998,37.9650005
18/05/15,6061400,38.330002,38.125
19/05/15,7380900,38.689999,38.59
20/05/15,6339300,38.330002,38.4200005
21/05/15,7141500,38.040001,38.17
22/05/15,5513900,38.169998,38.184999
26/05/15,8434000,37.790001,37.870001
27/05/15,8252300,38.619999,38.2999995
28/05/15,9717600,38.73,38.5949995
29/05/15,7858800,38.200001,38.4399985
01/06/15,8830700,38.580002,38.4400005
02/06/15,6178700,38.52,38.505001
03/06/15,7812600,39.009998,38.9250015
04/06/15,7713400,38.700001,38.8999995
05/06/15,9808100,39.290001,39.1750015
08/06/15,7327000,39.09,39.370001
09/06/15,7807900,39.130001,39.035
10/06/15,9546900,39.889999,39.5550005
11/06/15,6981000,39.869999,39.9050005
12/06/15,5896300,39.610001,39.6849995
15/06/15,5635300,39.529999,39.295
16/06/15,4580300,39.740002,39.5799995
17/06/15,7029500,39.580002,39.744999
18/06/15,7593800,39.790001,39.625
19/06/15,10338800,39.369999,39.5750005
22/06/15,8676300,39.849998,39.879999
23/06/15,9380300,40.209999,40.110001
24/06/15,8065700,39.639999,39.8999995
25/06/15,8939700,39.220001,39.504999
26/06/15,8325600,39.5,39.540001
29/06/15,10819300,38.310001,38.75
30/06/15,11102300,38.790001,38.8250005
01/07/15,10549900,39.360001,39.3549995
02/07/15,6801200,39,39.0599995
06/07/15,8044500,38.849998,38.66
07/07/15,12759200,38.619999,38.275002
08/07/15,9113300,37.790001,38.050001
09/07/15,7286000,38.099998,38.3150005
10/07/15,6780400,38.639999,38.6499995
13/07/15,7183900,39.32,39.165001
14/07/15,8054600,39.709999,39.584999
15/07/15,7649400,39.700001,39.7150005
16/07/15,7969800,39.91,39.965
17/07/15,8153700,40.200001,39.959999
20/07/15,15141800,40.040001,40.4700015
21/07/15,11773400,40.080002,40.0149995
22/07/15,9435900,40.540001,40.3500005
23/07/15,10281600,39.939999,40.2750015
24/07/15,8370100,39.599998,39.6800005
27/07/15,11948000,39.25,39.125
28/07/15,9201100,39.25,39.375
29/07/15,9677800,39.290001,39.1849995
30/07/15,5512100,39.299999,39.125
31/07/15,7347600,38.84,39.0699995
03/08/15,7078100,38.759998,38.6949995
04/08/15,6365800,38.919998,38.960001
05/08/15,4981000,39,39.0749985
06/08/15,7573500,38.93,38.92
07/08/15,8329500,38.580002,38.719999
10/08/15,5585000,39.080002,38.9799995
11/08/15,11188900,37.919998,38.1350005
12/08/15,13981400,37.57,37.1049995
13/08/15,6554200,37.75,37.710001
14/08/15,5029500,38.049999,37.835001
17/08/15,5109200,38.139999,37.8649995
18/08/15,8794400,37.82,38
19/08/15,8549700,37.439999,37.5100005
20/08/15,14129400,36.169998,36.584999
21/08/15,30185700,34.209999,35.0249995
24/08/15,24624100,32.259998,32.0050005
25/08/15,19890100,31.76,32.7649995
26/08/15,25346400,33.299999,32.8150005
27/08/15,21258600,34.299999,33.9499985
28/08/15,13192400,34.049999,33.955
31/08/15,13393000,34.450001,34.42
01/09/15,14590100,33.119999,33.2900005
02/09/15,12151000,33.790001,33.4850005
03/09/15,11670800,33.799999,34.0650005
04/09/15,12774100,33.189999,33.1949995
08/09/15,13449200,34.27,34.129999
09/09/15,10657200,33.75,34.3500005
10/09/15,9692500,33.869999,33.805
11/09/15,7800900,33.990002,33.744999
14/09/15,9102200,33.810001,33.870001
15/09/15,8776700,34.580002,34.2749995
16/09/15,10540400,34.619999,34.539999
17/09/15,13617200,34.049999,34.3950005
18/09/15,19591300,33.029999,33.219999
21/09/15,8950900,33.34,33.3149985
22/09/15,13385500,32.439999,32.4849985
23/09/15,12264700,32.32,32.445
24/09/15,16766500,31.969999,31.72
25/09/15,13797800,32.189999,32.425001
28/09/15,15445400,31.09,31.3649995
29/09/15,13715900,31.01,30.8699995
30/09/15,15024800,31.5,31.535001
01/10/15,13358700,31.5,31.4149995
02/10/15,22822500,31.43,30.8099995
05/10/15,11635700,32.290001,32.0949995
06/10/15,8875100,32.360001,32.1850005
07/10/15,13458400,32.93,32.9750005
08/10/15,11407600,32.990002,32.8549995
09/10/15,11711000,32.720001,32.834999
12/10/15,7034500,32.799999,32.6899985
13/10/15,10943700,32.610001,32.839998
14/10/15,9877500,32.540001,32.7399995
15/10/15,12920500,33.610001,33.0200005
16/10/15,13804700,33.950001,33.790001
19/10/15,39255600,32.32,31.965001
20/10/15,23590400,32.25,32.035001
21/10/15,22175900,31.48,31.8850005
22/10/15,18753800,32.349998,32.0299995
23/10/15,14730700,32.619999,32.665001
26/10/15,10952300,32.549999,32.57
27/10/15,13302400,32.23,32.084999
28/10/15,17285600,33.439999,32.870001
29/10/15,12759600,33.540001,33.6149995
30/10/15,13581100,32.970001,33.25
02/11/15,9887900,33.48,33.3700005
03/11/15,11389800,33.290001,33.3100015
04/11/15,9125400,33.400002,33.42
05/11/15,12192300,33.880001,33.7299995
06/11/15,19355200,35.41,35.2299995
09/11/15,10976800,35.110001,35.290001
10/11/15,7335600,35.240002,35.025
11/11/15,7506000,35.02,35.245001
12/11/15,10403400,34.23,34.475
13/11/15,8728000,33.93,34.074999
16/11/15,11227400,34.049999,33.68
17/11/15,10853300,33.59,33.955
18/11/15,10396200,34.25,33.960001
19/11/15,8947800,34.169998,34.195
20/11/15,8624100,33.91,34.154999
23/11/15,7963000,33.639999,33.8549995
24/11/15,7954500,33.59,33.4799995
25/11/15,6210000,33.610001,33.5949995
27/11/15,3014600,33.779999,33.699999
30/11/15,17416300,34.299999,34.115
01/12/15,18594200,35.27,34.974998
02/12/15,10996500,34.889999,35.0600015
03/12/15,15021200,34.450001,34.755001
04/12/15,13205400,35.32,34.995001
07/12/15,8389200,34.68,34.8649995
08/12/15,10613400,34.060001,34.094999
09/12/15,13211200,33.369999,33.7000005
10/12/15,10674500,33.419998,33.5900005
11/12/15,16133000,32.080002,32.4899995
14/12/15,14990100,31.879999,31.9549995
15/12/15,13708800,32.84,32.8200015
16/12/15,13682900,33.610001,33.225
17/12/15,15959800,32.380001,33.1049995
18/12/15,19331700,31.290001,31.75
21/12/15,10920100,31.68,31.495
22/12/15,11468400,32.220001,31.995001
23/12/15,6807100,32.599998,32.5049995
24/12/15,2798200,32.48,32.574999
28/12/15,5420300,32.169998,32.155001
29/12/15,6388200,32.549999,32.5150015
30/12/15,5057200,32.23,32.4250015
31/12/15,8154300,31.809999,32.0349995
04/01/16,15749200,31.48,31.0399995
05/01/16,9850500,31.280001,31.3150005
06/01/16,13057400,30.5,30.5150005
07/01/16,18138200,28.98,29.4250005
08/01/16,15295600,28.379999,28.8949995
11/01/16,19414800,28.459999,28.2049995
12/01/16,16041800,28.459999,28.4399995
13/01/16,29721900,26.889999,27.6499995
14/01/16,23814500,27.15,26.775
15/01/16,29462200,25.969999,25.96
19/01/16,28788200,26.26,26.4449995
20/01/16,25940900,25.24,25.22
21/01/16,22130300,24.780001,25.1400005
22/01/16,22498400,25.610001,25.58
25/01/16,20144600,24.98,25.2250005
26/01/16,13362900,25.49,25.3450005
27/01/16,19796300,25.370001,25.6049995
28/01/16,16015600,25.17,25.3900005
29/01/16,18766500,25.879999,25.505
01/02/16,11177900,25.709999,25.675
02/02/16,18326800,24.5,24.875
03/02/16,25132900,24.32,23.9050005
04/02/16,17497500,25.01,24.660001
05/02/16,16106100,24.35,24.8
08/02/16,24258700,22.67,23.08
09/02/16,25642000,22.93,22.5250005
10/02/16,21564200,22.700001,23.21
11/02/16,29160400,21.690001,21.6449995
12/02/16,22802200,23.09,22.530001
16/02/16,20565500,23.719999,23.674999
17/02/16,19226500,24.23,24.3950005
18/02/16,17521200,23.959999,24.160001
19/02/16,12986200,24,23.915
22/02/16,12182000,24.540001,24.535
23/02/16,14728800,23.709999,24.085
24/02/16,20271400,23.709999,23.1949995
25/02/16,17568600,24.629999,24.225
26/02/16,19258000,25.16,25.2250005
29/02/16,13301500,24.700001,24.91
01/03/16,17197000,26.09,25.59
02/03/16,16119300,26.110001,26.0600005
03/03/16,11515400,26.139999,26
04/03/16,13629400,26.129999,26.205
07/03/16,9835300,26.09,26.0150005
08/03/16,21715100,25.01,25.400001
09/03/16,23542300,24.610001,24.8500005
10/03/16,20117300,24.65,24.8000005
11/03/16,24457300,26,25.6000005
14/03/16,17603300,25.91,25.865
15/03/16,15900500,25.43,25.405001
16/03/16,17841100,25.16,25.25
17/03/16,20718900,25.85,25.3050005
18/03/16,24032000,26.280001,26.2649995
21/03/16,10054000,25.940001,26.235001
22/03/16,13623900,25.84,25.7350005
23/03/16,10430600,25.27,25.535001
24/03/16,15777900,24.93,24.615001
28/03/16,9540200,24.719999,24.875
